match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,0.1,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,MM Ali,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,0.2,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,MM Ali,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,0.3,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,MM Ali,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,0.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,MM Ali,2,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,0.5,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,MM Ali,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,0.6,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,MM Ali,2,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,1.1,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,1.2,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,1.3,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,N Burger,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,1.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,N Burger,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,1.5,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,1.6,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,2.1,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,LB Williams,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,2.2,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,LB Williams,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,2.3,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,LB Williams,2,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,2.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,LB Williams,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,2.5,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,LB Williams,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,2.6,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,LB Williams,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,3.1,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,6,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,3.2,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,6,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,3.3,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,N Burger,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,3.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,N Burger,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,3.5,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,N Burger,6,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,3.6,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,N Burger,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.1,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.2,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.3,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.4,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,0,1,1,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.5,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,0,1,1,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.6,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.7,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,4.8,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,LB Williams,2,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.1,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,R Shepherd,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.2,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,R Shepherd,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.3,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,R Shepherd,4,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,R Shepherd,0,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.5,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,R Shepherd,0,1,1,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.6,MI Cape Town,Joburg Super Kings,HE van der Dussen,RD Rickelton,R Shepherd,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.7,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,R Shepherd,0,1,1,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,5.8,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,R Shepherd,1,0,,,,,,,,,
1392655,2023/24,2024-01-13,"The Wanderers Stadium, Johannesburg",1,6.1,MI Cape Town,Joburg Super Kings,RD Rickelton,HE van der Dussen,Imran Tahir,1,0,,,,,,,,,
